duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
1.0,3,10,4.974149563250717,4.095552892669308,5.852746233832126,1.830872329957166,0.6242145911295125,3.03753006878482,0.2883962012502611,0.09402069563548379,0.48277170686503845,3694.28079389347,1026.7904796066573,6361.771108180283,4821.624952140456,669.3849004626463,8973.865003818266,1607.208317380152,223.12830015421537,2991.288334606089,785.7132690568885,147.15807877814757,1424.2684593356294,3.15,2.544641032451828,3.755358967548172,10
1.0,4,10,4.707547767314637,3.9929904934830973,5.422105041146176,2.0974741258932466,0.7106177183175677,3.4843305334689254,0.26660179593608013,0.07685641447995956,0.4563471773922007,2960.11859761106,901.4407940857095,5018.796401136411,5555.787148422866,783.5488638262841,10328.025433019448,1388.9467871057166,195.88721595657103,2582.006358254862,734.1621962824104,94.8250392246274,1373.4993533401935,3.69,2.8995387112165294,4.48046128878347,10
1.0,5,10,4.594743030539247,3.9329168250124074,5.2565692360660865,2.2102788626686363,0.7486971372306095,3.671860588106663,0.11280473677538994,0.02940812014113811,0.19620135340964176,2657.290895807563,813.512824678194,4501.068966936932,5858.614850226363,849.3893466836917,10867.840353769036,1171.7229700452729,169.87786933673874,2173.5680707538068,302.8277018034972,44.27984868662867,561.3755549203656,4.17,3.1885435338252304,5.1514564661747695,10
1.0,6,10,4.538071196437407,3.9168556928156235,5.159286700059191,2.2669506967704756,0.7549150479771738,3.7789863455637773,0.05667183410183939,0.001858892202872428,0.11148477600080635,2485.7475505786256,803.4042408590244,4168.090860298227,6030.1581954553,855.467776774608,11204.848614135994,1005.026365909217,142.57796279576826,1867.474769022666,171.54334522893757,-2.757767858756324,345.84445831663146,4.59,3.418691806855125,5.761308193144875,10
2.0,0,10,7.936882680152735,6.155938281096174,9.717827079209297,0.0,0.0,0.0,,,,19989.73258846862,10420.215505869537,29559.249671067708,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
2.0,1,10,6.68892328414829,5.491257481121009,7.886589087175571,1.247959396004445,0.6240194008574323,1.8718993911514579,1.247959396004445,0.6240194008574323,1.8718993911514579,14065.153673247629,7782.0451671812725,20348.262179313984,5924.578915220994,2424.0902313003835,9425.067599141603,5924.578915220994,2424.0902313003835,9425.067599141603,5924.578915220994,2424.0902313003835,9425.067599141603,2.55,2.318197869279439,2.7818021307205605,10
2.0,2,10,5.918605639671936,5.1357807379320874,6.701430541411785,2.0182770404807977,0.9910111140471825,3.0455429669144127,0.7703176444763533,0.33754309056476334,1.2030921983879432,10473.328324251492,6222.36966817968,14724.286980323304,9516.40426421713,4065.4535242919874,14967.355004142271,4758.202132108565,2032.7267621459937,7483.677502071136,3591.825348996136,1491.1624052214215,5692.488292770851,4.67,4.2263889872615055,5.113611012738494,10
2.0,3,10,5.466297732381403,4.863930565841719,6.068664898921086,2.4705849477713313,1.2505404155814588,3.6906294799612036,0.4523079072905336,0.24575278777660503,0.6588630268044622,8355.12167112024,5111.071687250308,11599.171654990172,11634.610917348384,5220.383881378243,18048.837953318525,3878.2036391161273,1740.1279604594138,6016.279317772841,2118.206653131253,1074.7334372304983,3161.6798690320074,6.35,5.706399611666124,6.993600388333875,10
2.0,4,10,5.134093718191866,4.669453909059564,5.598733527324168,2.802788961960868,1.4210451204220276,4.1845328034997085,0.3322040141895363,0.16052434433451426,0.5038836840445584,6785.593492224565,4299.875822731021,9271.31116171811,13204.139096244058,5984.276199619307,20424.00199286881,3301.0347740610146,1496.0690499048267,5106.000498217202,1569.528178895675,707.7718979616608,2431.2844598296892,7.82,6.947903287278496,8.692096712721504,10
2.0,5,10,4.93933174406885,4.553992019627638,5.324671468510062,2.9975509360838832,1.5069484059445293,4.488153466223237,0.1947619741230153,0.08144317259782295,0.3080807756482076,5912.862473406838,3870.976715226552,7954.748231587124,14076.870115061782,6362.967095990018,21790.773134133546,2815.3740230123576,1272.593419198005,4358.15462682671,872.7310188177269,338.32775795040163,1407.1342796850522,9.030000000000001,7.916629456751696,10.143370543248306,10
2.0,6,10,4.844635722732571,4.49168736341986,5.197584082045282,3.0922469574201625,1.5620896269670794,4.622404287873246,0.09469602133627944,0.04191563217058467,0.14747641050197421,5469.601394900729,3659.970687780924,7279.2321020205345,14520.131193567891,6584.751414482829,22455.510972652955,2420.021865594649,1097.458569080472,3742.5851621088264,443.26107850610896,167.14754515515165,719.3746118570663,9.99,8.591258227311592,11.388741772688409,10
4.0,0,10,9.892970714235542,6.358937705218699,13.427003723252385,0.0,0.0,0.0,,,,60391.81385112328,13656.946563970596,107126.68113827598,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
